Fixed waiting time,Fuzzy waiting time,Average Fixed Dispatch Interval,Average Fuzzy Dispatch Interval,Average passengers
36.17647059,34.37647059,15,9.617647059,148.1764706
29.11764706,27.98823529,15,9.855882353,140.6470588
29.11764706,25.81764706,15,10.94117647,132.5294118
26.47058824,24.86470588,15,10.65882353,124
26.47058824,24.59117647,15,10.8,120.9411765
26.47058824,25.38529412,15,10.42941176,125.8235294
32.64705882,31.18235294,15,9.441176471,139.8823529
32.64705882,31.57941176,15,10.24411765,135.1176471
23.82352941,22.72941176,15,11.09117647,112.5882353
28.23529412,27.24705882,15,10.31470588,131.4705882
30,27.11470588,15,10.31470588,127.7058824
28.23529412,26.67352941,15,10.34117647,131.9411765
25.58823529,25.58823529,15,10.48235294,123.4117647
23.82352941,23.16176471,15,10.98529412,112
25.58823529,24.62647059,15,10.76470588,117.1764706
35.29411765,33.83823529,15,10.24411765,150.2941176
30.88235294,28.31470588,15,10.29705882,137.4705882
28.23529412,26.35588235,15,10.53529412,129.2352941
35.29411765,33.91764706,15,9.335294118,151.3529412
22.94117647,21.95294118,15,11.19705882,109.4705882
22.94117647,20.64705882,15,10.61470588,114.7647059
30,29.86764706,15,10.18235294,132.4705882
33.52941176,31.84411765,15,9.776470588,142.2941176
37.94117647,37.16470588,15,9.079411765,157.5882353
27.35294118,26.93823529,15,10.55294118,126.0588235
23.82352941,22.93235294,15,10.61470588,114.0588235
33.52941176,30.75,15,9.864705882,145.2941176
29.11764706,28.06764706,15,11.02941176,128.1176471
27.35294118,26.81470588,15,10.72941176,121.8235294
24.70588235,23.74411765,15,10.82647059,119.6470588
27.35294118,25.06764706,15,10.62352941,119.6470588
26.47058824,25.25294118,15,10.24411765,125.8823529
32.64705882,31.57941176,15,9.855882353,141.3529412
30.88235294,27.64411765,15,10.35882353,138.3529412
30,28.56176471,15,10.30588235,132.5294118
28.23529412,26.94705882,15,10.36764706,130.2352941
22.94117647,23.86764706,15,10.43823529,120.4117647
28.23529412,27.65294118,15,10.55294118,128.7647059
26.47058824,25.37647059,15,10.71176471,120.2352941
26.47058824,26.05588235,15,10.33235294,131.6470588
30,28.57941176,15,10.26176471,128.8235294
26.47058824,24.97058824,15,10.74705882,121
25.58823529,23.88529412,15,10.5,122.6470588
29.11764706,28.06764706,15,10.53529412,124.7058824
32.64705882,29.74411765,15,10.34117647,132.7058824
30.88235294,28.78235294,15,10.31470588,133.6470588
30.88235294,29.96470588,15,9.644117647,141.8823529
30.88235294,28.87941176,15,10.5,124.4117647
26.47058824,25.36764706,15,10.48235294,125.6470588
29.11764706,27.3,15,10.54411765,128.5294118
27.35294118,25.12941176,15,10.72058824,124.4117647
26.47058824,24.46764706,15,10.42058824,112.5294118
29.11764706,28.05882353,15,10.25294118,128.9411765
29.11764706,27.19411765,15,10.44705882,127.4705882
31.76470588,29.49705882,15,10.22647059,134.8235294
28.23529412,25.87941176,15,10.92352941,124.5294118
26.47058824,25.62352941,15,11.03823529,117.2941176
30,27.68823529,15,10.43823529,135.8235294
22.94117647,21.6,15,11.01176471,114.6470588
35.29411765,33.65294118,15,9.467647059,144.5882353
26.47058824,24.67941176,15,11.11764706,115.4117647
24.70588235,24.00882353,15,11.47941176,105.7647059
37.05882353,35.36470588,15,9.388235294,154.4117647
24.70588235,23.96470588,15,10.41176471,120.2352941
27.35294118,26.52352941,15,10.29705882,125.2941176
22.94117647,21.26470588,15,10.64117647,116.6470588
27.35294118,26.73529412,15,9.352941176,131.9411765
26.47058824,26.49705882,15,10.31470588,128.3529412
27.35294118,26.30294118,15,10.11176471,127.6470588
35.29411765,34.16470588,15,9.864705882,149.1176471
30.88235294,28.40294118,15,10.38529412,131.2352941
29.11764706,29.55882353,15,10.29705882,124.9411765
25.58823529,23.41764706,15,10.88823529,117.7647059
25.58823529,24.67941176,15,10.78235294,115.0588235
29.11764706,26.39117647,15,11.13529412,121.5882353
24.70588235,24.05294118,15,10.85294118,115.7647059
26.47058824,24.17647059,15,10.8,125.2352941
28.23529412,26.02058824,15,10.59705882,124.4117647
32.64705882,30.52941176,15,10.46470588,136.7058824
30.88235294,28.77352941,15,10.62352941,133.1764706
25.58823529,24.14117647,15,10.84411765,121.1764706
31.76470588,29.27647059,15,10.39411765,131.1764706
29.11764706,27.02647059,15,10.31470588,130.7058824
26.47058824,24.68823529,15,10.90588235,116.4705882
30,27.67058824,15,10.65882353,136
30,29.15294118,15,10.22647059,128.5882353
27.35294118,26.22352941,15,10.42058824,125.6470588
31.76470588,31.18235294,15,10.06764706,138.5294118
26.47058824,23.86764706,15,10.98529412,117
28.23529412,26.46176471,15,10.25294118,131.9411765
30,28.91470588,15,10.13823529,135.5294118
24.70588235,25.42058824,15,10.65882353,117.6470588
29.11764706,26.23235294,15,10.43823529,125.1176471
32.64705882,31.27058824,15,10.28823529,137.8235294
32.64705882,30.40588235,15,10.35882353,140.6470588
22.94117647,22.89705882,15,10.73823529,116.4117647
36.17647059,35.28529412,15,9.441176471,152.2352941
25.58823529,24.17647059,15,11.24117647,110.1176471
30,30.33529412,15,10.20882353,138.2941176
30,27.71470588,15,10.62352941,133.3529412
