                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45672,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                0.68869,                0.53841,                0.63215,                0.46754,                 1.0753,                 1.0877,                 1.1208,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2365,                0.68865,                0.55416,                0.64287,                0.47683,                 1.0681,                 1.0634,                 1.1178,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1419,                 1.2954,                 1.2363,                0.70029,                0.58301,                0.66376,                0.49115,                 1.0552,                 1.0382,                 1.1086,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2145,                 1.3291,                 1.2289,                 0.6877,                0.60816,                0.68493,                0.50633,                 1.0395,                 1.0126,                 1.0948,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1218,                 1.1597,                 1.1959,                0.68026,                0.63634,                0.69974,                0.52352,                 1.0273,                0.99487,                 1.0854,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  1.121,                 1.1753,                 1.1982,                0.72157,                0.64389,                0.71497,                0.53573,                 1.0197,                0.97691,                 1.0813,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                   1.08,                 1.1253,                 1.1629,                0.73194,                0.66535,                0.72604,                0.54475,                 1.0128,                0.94832,                 1.0766,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  1.079,                 1.0918,                 1.1604,                0.75267,                 0.6677,                0.73768,                0.55045,                 1.0082,                0.92086,                 1.0726,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0762,                 1.1202,                 1.1764,                0.71865,                0.69417,                0.74187,                0.55354,                 1.0025,                0.90009,                 1.0684,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1104,                 1.0972,                  1.167,                0.71955,                0.70505,                0.75027,                0.56639,                0.99117,                0.87055,                 1.0605,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0191,                 1.0337,                 1.1381,                 0.7573,                0.68125,                0.75826,                0.57172,                0.97615,                0.84687,                 1.0522,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0793,                 1.0342,                 1.1805,                0.79178,                0.67636,                0.76629,                0.58331,                0.96306,                0.83294,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0808,                 1.0687,                 1.1521,                0.79721,                 0.6791,                 0.7737,                0.59438,                0.96184,                0.82131,                 1.0443,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0882,                 1.0504,                 1.1501,                0.81426,                0.68707,                0.78175,                0.60155,                 0.9653,                0.81271,                 1.0441,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0506,                 1.0133,                 1.1443,                0.81647,                0.69788,                0.79213,                0.61123,                0.95586,                0.79279,                 1.0391,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0236,                 1.0348,                 1.1365,                0.81422,                0.72834,                0.80994,                0.62664,                0.94164,                0.77671,                 1.0347,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0502,                0.98022,                 1.1398,                0.81465,                0.73543,                 0.8188,                0.63185,                0.92949,                0.75794,                 1.0292,             0.00010015,             0.00010015,             0.00010015
                     19,                0.98628,                  0.961,                 1.1353,                0.82152,                0.72556,                0.82156,                0.63627,                0.92126,                0.74518,                 1.0226,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 0.9728,                0.91993,                 1.1096,                0.79764,                0.75984,                0.82655,                0.63908,                0.91156,                0.73546,                 1.0159,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                  1.013,                0.93951,                 1.1264,                0.85984,                0.73769,                0.83476,                  0.644,                0.90829,                0.72345,                 1.0121,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0214,                0.92282,                 1.1312,                0.87566,                 0.7372,                 0.8364,                0.64753,                0.90681,                0.71497,                 1.0092,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.99694,                0.91876,                 1.0967,                0.86226,                0.73856,                 0.8355,                 0.6495,                0.89928,                0.70627,                  1.005,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.95024,                0.90815,                 1.0953,                  0.827,                0.76105,                0.84032,                0.65144,                0.89418,                0.70163,                 1.0045,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96907,                0.89344,                 1.1001,                0.81296,                 0.7857,                0.84294,                0.65597,                0.88517,                0.69553,                 1.0018,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.96885,                0.93234,                 1.1099,                0.82966,                0.78115,                0.84355,                0.65593,                 0.8783,                0.69005,                 1.0005,             9.0726e-05,             9.0726e-05,             9.0726e-05
