                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.73,                  3.335,                 1.5744,                0.17411,                0.14286,                0.06705,                0.02973,                 1.9019,                 2.4257,                 1.5579,                 0.0006,                 0.0006,                 0.0006
                      2,                  1.353,                 1.7033,                 1.3281,                0.44343,                0.40394,                0.30551,                0.13963,                 1.8119,                 2.2691,                   1.42,               0.001214,               0.001214,               0.001214
                      3,                 1.4281,                 1.5255,                  1.304,                0.58073,                0.45715,                0.51612,                0.23846,                 1.9435,                 1.6391,                 1.4548,              0.0018218,              0.0018218,              0.0018218
                      4,                 1.4359,                 1.4371,                 1.2572,                0.74751,                0.51045,                0.57421,                 0.2809,                 1.8072,                 1.6507,                 1.5172,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3374,                  1.338,                 1.2604,                0.88662,                 0.5393,                0.66227,                0.34506,                 1.6722,                 1.3235,                 1.3986,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.3234,                 1.2218,                 1.2161,                0.42781,                0.47783,                0.38358,                0.20407,                 1.6977,                 1.7368,                 1.3501,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.2917,                   1.24,                 1.2064,                0.43858,                0.32512,                0.24748,                0.09377,                 1.7753,                  1.972,                 1.3421,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.2004,                 1.1602,                 1.2015,                0.55499,                0.60208,                0.54731,                0.28906,                 1.7083,                 1.3062,                 1.3888,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.2612,                 1.0985,                 1.1949,                0.75004,                0.58621,                0.66136,                 0.3593,                 1.6646,                 1.2506,                 1.2621,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.2438,                 1.0593,                 1.1874,                0.79318,                0.65517,                 0.7266,                 0.4147,                 1.5183,                 1.0872,                 1.2248,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.1852,                 1.0555,                 1.1865,                 0.7721,                0.64039,                0.72066,                0.41808,                 1.5034,                 1.1001,                 1.2167,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.1924,                0.99585,                 1.1666,                0.73426,                0.66695,                0.71566,                0.40076,                 1.5208,                 1.1262,                 1.2615,               0.001901,               0.001901,               0.001901
                     13,                 1.1788,                0.98073,                 1.1322,                0.80326,                 0.6034,                0.72039,                0.42973,                 1.4295,                 1.0906,                 1.1728,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.1702,                0.92758,                 1.1467,                0.77708,                0.59606,                0.69477,                 0.4108,                 1.4755,                 1.1537,                 1.2323,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.1644,                0.95565,                 1.1348,                0.80423,                0.59113,                0.71755,                 0.4354,                 1.4767,                 1.0279,                  1.187,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.1284,                0.91562,                  1.149,                0.84359,                0.69458,                0.78273,                0.43201,                 1.4592,                 1.0065,                  1.192,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.1204,                0.89909,                 1.1421,                0.74659,                0.65517,                0.69693,                0.40234,                  1.484,                 1.0978,                 1.2092,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.1496,                0.88887,                 1.1439,                0.79014,                0.64917,                0.69592,                0.40766,                  1.523,                 1.1955,                 1.2378,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.1223,                0.85797,                 1.0965,                0.79542,                0.67035,                0.75841,                0.43368,                 1.5134,                0.97899,                 1.1947,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.1212,                0.84722,                 1.1034,                 0.7805,                0.68313,                0.73572,                0.40056,                 1.5802,                 1.0595,                 1.2564,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.1003,                0.88547,                 1.1458,                0.78901,                0.67488,                0.75164,                0.41547,                 1.5285,                 1.0068,                 1.2105,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.0804,                0.86276,                 1.0975,                0.84498,                0.65517,                0.75531,                0.42731,                 1.5167,                0.98476,                 1.2197,               0.001802,               0.001802,               0.001802
                     23,                 1.1146,                 0.8729,                 1.1111,                0.78029,                0.63547,                0.73112,                0.42642,                 1.4948,                 1.0365,                 1.1926,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.0274,                0.80355,                 1.0997,                0.81973,                0.62069,                0.74893,                0.42324,                 1.4669,                0.98287,                   1.19,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.0943,                0.82098,                 1.0972,                0.77768,                0.60099,                0.69512,                 0.3849,                 1.5436,                 1.0533,                 1.2134,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.0139,                0.78525,                 1.0879,                0.76897,                0.68966,                0.75334,                0.44265,                 1.4688,                0.94418,                 1.1784,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.0768,                0.79358,                 1.0959,                0.80446,                0.69458,                0.75968,                0.45239,                 1.4249,                0.97865,                 1.1519,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.0408,                0.74254,                 1.0707,                0.76566,                0.68473,                0.77012,                0.46861,                  1.393,                0.88742,                 1.1561,              0.0017426,              0.0017426,              0.0017426
                     29,                  1.018,                0.74733,                 1.0859,                0.82574,                0.65025,                0.73123,                0.44776,                 1.4659,                 1.0205,                 1.1983,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.0298,                 0.7459,                  1.075,                0.81557,                 0.6601,                0.76925,                0.46407,                 1.4104,                0.92493,                 1.1763,              0.0017228,              0.0017228,              0.0017228
                     31,                0.99181,                0.75622,                 1.0587,                0.84142,                0.65344,                0.75555,                0.43015,                 1.4952,                0.97777,                 1.1986,              0.0017129,              0.0017129,              0.0017129
                     32,                0.95923,                0.73162,                 1.0587,                0.89318,                0.65907,                0.77144,                0.47132,                 1.3711,                0.95007,                 1.1461,               0.001703,               0.001703,               0.001703
                     33,                 1.0025,                0.73241,                 1.0649,                0.83631,                0.68966,                0.75857,                0.47204,                 1.3918,                0.86973,                 1.1515,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.0004,                0.72541,                 1.0483,                0.87148,                0.68966,                0.80427,                0.48561,                 1.3637,                0.85881,                  1.143,              0.0016832,              0.0016832,              0.0016832
                     35,                  1.002,                0.73496,                 1.0665,                0.91055,                0.70202,                 0.7948,                0.47307,                 1.3792,                 0.8666,                 1.1626,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0186,                0.71595,                  1.064,                0.80275,                0.75369,                0.82252,                0.49833,                 1.3753,                0.82041,                 1.1465,              0.0016634,              0.0016634,              0.0016634
                     37,                0.97118,                0.70291,                 1.0599,                0.88758,                0.70009,                0.82469,                0.45897,                 1.4103,                0.85662,                 1.1758,              0.0016535,              0.0016535,              0.0016535
                     38,                0.99952,                0.72193,                 1.0567,                0.84158,                0.62806,                0.75116,                0.44453,                 1.4711,                0.93641,                 1.1898,              0.0016436,              0.0016436,              0.0016436
                     39,                0.99149,                0.70768,                 1.0454,                 0.8952,                0.67329,                0.78574,                 0.4719,                 1.4344,                0.86832,                 1.1952,              0.0016337,              0.0016337,              0.0016337
                     40,                0.99701,                0.71025,                 1.0489,                0.88858,                0.70716,                0.82462,                0.49871,                 1.3541,                0.91436,                 1.1271,              0.0016238,              0.0016238,              0.0016238
                     41,                0.99998,                0.71403,                 1.0415,                0.82795,                0.68749,                0.76835,                0.45633,                 1.3866,                0.84166,                 1.1591,              0.0016139,              0.0016139,              0.0016139
                     42,                0.96143,                0.68456,                   1.05,                0.89367,                0.70388,                0.80368,                0.49047,                 1.3691,                0.85266,                 1.1324,               0.001604,               0.001604,               0.001604
                     43,                0.92135,                0.65818,                 1.0302,                 0.7903,                0.70547,                0.77284,                0.44741,                 1.4584,                0.92863,                 1.2086,              0.0015941,              0.0015941,              0.0015941
                     44,                0.99807,                 0.7037,                  1.042,                0.76499,                0.65746,                0.72303,                 0.4127,                 1.5206,                0.92704,                 1.1982,              0.0015842,              0.0015842,              0.0015842
                     45,                0.96192,                0.67908,                 1.0237,                0.83689,                0.71921,                0.80112,                 0.4886,                 1.3721,                0.87409,                 1.1467,              0.0015743,              0.0015743,              0.0015743
                     46,                0.97038,                0.69885,                 1.0459,                0.87073,                   0.73,                0.80111,                 0.4876,                 1.3548,                0.86047,                 1.1334,              0.0015644,              0.0015644,              0.0015644
                     47,                0.95031,                0.68322,                 1.0472,                0.89753,                0.68473,                0.79571,                0.47257,                 1.4131,                0.86179,                 1.1526,              0.0015545,              0.0015545,              0.0015545
